"genAge","word","n"
"Men, 25-35","attend",6
"Men, 25-35","cache",6
"Men, 25-35","circumcise",6
"Men, 25-35","complication",6
"Men, 25-35","cry",6
"Men, 25-35","delivery",6
"Men, 25-35","depo",6
"Men, 25-35","discharge",6
"Men, 25-35","duration",6
"Men, 25-35","dysfunction",6
"Men, 25-35","explain",6
"Men, 25-35","family",6
"Men, 25-35","fill",6
"Men, 25-35","god",6
"Men, 25-35","hear",6
"Men, 25-35","notice",6
"Men, 25-35","play",6
"Men, 25-35","production",6
"Men, 25-35","prolong",6
"Men, 25-35","ready",6
"Men, 25-35","realy",6
"Men, 25-35","red",6
"Men, 25-35","remove",6
"Men, 25-35","service",6
"Men, 25-35","short",6
"Men, 25-35","sleep",6
"Men, 25-35","sti's",6
"Men, 25-35","term",6
"Men, 25-35","tr",6
"Men, 25-35","treatable",6
"Men, 25-35","viagra",6
"Men, 25-35","wich",6
"Men, 25-35","worry",6
"Men, 36+","age",6
"Men, 36+","health",6
"Men, 36+","question/answer",6
"Men, 36+","sign/symptom",6
"Men, 36+","vasectomy",6
"Men, 15-19","anal",5
"Men, 15-19","apply",5
"Men, 15-19","arouse",5
"Men, 15-19","attack",5
"Men, 15-19","attend",5
"Men, 15-19","azin",5
"Men, 15-19","begin",5
"Men, 15-19","birth control",5
"Men, 15-19","boob",5
"Men, 15-19","check",5
"Men, 15-19","colour",5
"Men, 15-19","common",5
"Men, 15-19","conceive",5
"Men, 15-19","concern",5
"Men, 15-19","contraseptives",5
"Men, 15-19","cool",5
"Men, 15-19","cure",5
"Men, 15-19","den",5
"Men, 15-19","due",5
"Men, 15-19","duration",5
"Men, 15-19","enjoy",5
"Men, 15-19","explain",5
"Men, 15-19","fat",5
"Men, 15-19","flow",5
"Men, 15-19","food",5
"Men, 15-19","frequent",5
"Men, 15-19","happy",5
"Men, 15-19","heat",5
"Men, 15-19","hone",5
"Men, 15-19","hospital",5
"Men, 15-19","ht",5
"Men, 15-19","issue",5
"Men, 15-19","knw",5
"Men, 15-19","lf",5
"Men, 15-19","lose",5
"Men, 15-19","main",5
"Men, 15-19","mine",5
"Men, 15-19","mood",5
"Men, 15-19","morning",5
"Men, 15-19","net",5
"Men, 15-19","orgasm",5
"Men, 15-19","pare",5
"Men, 15-19","physical",5
"Men, 15-19","practice",5
"Men, 15-19","protective",5
"Men, 15-19","semen",5
"Men, 15-19","source",5
"Men, 15-19","stomach",5
"Men, 15-19","undergo",5
"Men, 15-19","virginity",5
"Men, 20-24","abnormality",5
"Men, 20-24","absolutely",5
"Men, 20-24","accept",5
"Men, 20-24","action",5
"Men, 20-24","activity",5
"Men, 20-24","add",5
"Men, 20-24","air",5
"Men, 20-24","apply",5
"Men, 20-24","arouse",5
"Men, 20-24","bite",5
"Men, 20-24","busy",5
"Men, 20-24","canser",5
"Men, 20-24","challenge",5
"Men, 20-24","circumsition",5
"Men, 20-24","clam",5
"Men, 20-24","cold",5
"Men, 20-24","conception",5
